id;type;startTime;endTime;duration;parent;next;previous
http://knowrob.org/kb/knowrob.owl#VisualPerception_KRENHSXD;VisualPerception;1533289916.37618;1533289916.65368;0.2775020599;LookingForSomething;;LookingForSomething
http://knowrob.org/kb/knowrob.owl#GRASPING_LEUKDRXG;GRASPING;1533289942.91849;1533289943.21139;0.2928919792;ClosingADrawer;Pushing;Reaching
http://knowrob.org/kb/knowrob.owl#MovingToOperate_INHXQPBY;MovingToOperate;1533289924.73127;1533289927.80915;3.0778851509;FetchAndDeliver;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#Retracting_RSOYWMFU;Retracting;1533289927.45812;1533289927.75035;0.2922360897;OpeningADrawer;;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#LookingForSomething_OCRNFDJE;LookingForSomething;1533289917.76145;1533289918.13787;0.3764269352;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#BaseMovement_UTQHFCKP;BaseMovement;1533289915.67296;1533289915.89651;0.2235500813;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_KELTVFMJ;MovingToLocation;1533289930.07008;1533289931.19805;1.1279728413;PickingUpAnObject;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_KFWTMLRG;LookingAtLocation;1533289916.12596;1533289916.31609;0.1901299953;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#BaseMovement_CKWETHLN;BaseMovement;1533289944.10686;1533289944.46258;0.3557229042;;;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_LUMBXYZF;OpeningAGripper;1533289346.37023;1533289346.64883;0.2786021233;;;BaseMovement
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_YGXRDISB;LookingAtLocation;1533289346.37056;1533289346.66362;0.2930519581;;BaseMovement;BaseMovement
http://knowrob.org/kb/knowrob.owl#VisualPerception_RWTDMUNB;VisualPerception;1533289363.2264;1533289363.43461;0.2082071304;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_WNIJFHTQ;LookingAtLocation;1533289356.82023;1533289357.01171;0.1914818287;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#LookingForSomething_RFPGLEIS;LookingForSomething;1533289356.66095;1533289357.04446;0.3835060596;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#BaseMovement_LOVCQUPX;BaseMovement;1533289368.16764;1533289368.33693;0.1692860126;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#BaseMovement_IOZNGRXF;BaseMovement;1533289350.55227;1533289350.80981;0.2575340271;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_WXMZOENJ;LookingAtLocation;1533289359.98333;1533289360.17638;0.1930408478;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_PHGEFQJO;MovingToLocation;1533289365.27512;1533289365.92232;0.6472058296;PickingUpAnObject;LookingForSomething;VisualPerception
http://knowrob.org/kb/knowrob.owl#BaseMovement_YUPDZEFB;BaseMovement;1533289365.67283;1533289365.89179;0.2189638615;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_SGUKIMJZ;LookingAtLocation;1533289387.47264;1533289388.14089;0.6682598591;;;FetchAndDeliver
http://knowrob.org/kb/knowrob.owl#BaseMovement_TLNMRFXB;BaseMovement;1533289373.88186;1533289374.09954;0.2176837921;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_TPBNSQOK;MovingToLocation;1533289367.55195;1533289368.37066;0.8187060356;MovingToOperate;OpeningADrawer;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_CPTRMJIS;MovingToLocation;1533289354.66867;1533289355.22302;0.5543510914;PickingUpAnObject;LookingForSomething;VisualPerception
http://knowrob.org/kb/knowrob.owl#LookingForSomething_ISWXKPOB;LookingForSomething;1533289352.46501;1533289352.84653;0.3815169334;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#LiftingAnArm_SPNCWZHQ;LiftingAnArm;1533289376.20693;1533289376.60306;0.3961229324;AcquireGraspOfSomething;;ClosingAGripper
http://knowrob.org/kb/knowrob.owl#VisualPerception_HOULGBFX;VisualPerception;1533289364.67801;1533289364.88175;0.2037479877;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#PickingUpAnObject_OKQSFYIC;PickingUpAnObject;1533289373.01972;1533289376.73438;3.7146608829;FetchAndDeliver;PuttingDownAnObject;LookingForSomething
http://knowrob.org/kb/knowrob.owl#GRASPING_JFWKUVQZ;GRASPING;1533289386.28277;1533289386.58327;0.3004999161;ClosingADrawer;Pushing;Reaching
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_VGQXZTPN;OpeningAGripper;1533289387.4725;1533289388.15035;0.6778459549;;BaseMovement;FetchAndDeliver
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_FXGTPRBN;LookingAtLocation;1533289358.54512;1533289358.7304;0.1852800846;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#VisualPerception_PRVIOGTE;VisualPerception;1533289372.63779;1533289372.90386;0.2660729885;LookingForSomething;;LookingForSomething
http://knowrob.org/kb/knowrob.owl#Retracting_QXLMNDIH;Retracting;1533289386.94353;1533289387.23347;0.289940834;ClosingADrawer;;Pushing
http://knowrob.org/kb/knowrob.owl#AcquireGraspOfSomething_KXFHIMNU;AcquireGraspOfSomething;1533289375.03536;1533289376.63378;1.5984208584;PickingUpAnObject;;VisualPerception
http://knowrob.org/kb/knowrob.owl#BaseMovement_OXJMYSIR;BaseMovement;1533289371.9367;1533289372.15393;0.2172341347;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#SettingAGripper_NXVHPFBK;SettingAGripper;1533289375.13815;1533289375.32975;0.1915931702;AcquireGraspOfSomething;Reaching;
http://knowrob.org/kb/knowrob.owl#BaseMovement_LHKITYWS;BaseMovement;1533289353.58;1533289353.79578;0.2157788277;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#LookingForSomething_ZUVKBCGW;LookingForSomething;1533289372.22201;1533289372.60686;0.3848519325;LookingForSomething;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_CLBMRHGF;LookingAtLocation;1533289348.89878;1533289349.08962;0.1908321381;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#LookingForSomething_HROCYIWX;LookingForSomething;1533289350.87133;1533289351.31438;0.443051815;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#BaseMovement_MLDVUISR;BaseMovement;1533289359.52396;1533289359.74742;0.2234590054;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_SLXZBOTR;MovingToLocation;1533289347.45348;1533289348.70024;1.2467689514;LookingForSomething;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_KLNHMZXF;OpeningAGripper;1533289370.01422;1533289370.14996;0.1357359886;OpeningADrawer;Retracting;Pulling
http://knowrob.org/kb/knowrob.owl#FetchAndDeliver_WXHTDBCO;FetchAndDeliver;1533289367.14876;1533289387.32796;20.1792070866;;OpeningAGripper;FetchAndDeliver
http://knowrob.org/kb/knowrob.owl#Reaching_CBMNVPDQ;Reaching;1533289375.13858;1533289375.59769;0.4591100216;AcquireGraspOfSomething;GRASPING;SettingAGripper
http://knowrob.org/kb/knowrob.owl#VisualPerception_BFZLJSNG;VisualPerception;1533289361.66255;1533289361.8601;0.1975429058;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#BaseMovement_EJUFWOHB;BaseMovement;1533289387.47234;1533289388.23612;0.7637810707;;;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#MovingToOperate_IYNWMGSJ;MovingToOperate;1533289367.40757;1533289370.53792;3.1303491592;FetchAndDeliver;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#LookingForSomething_ZHUCNTOJ;LookingForSomething;1533289364.25446;1533289364.64892;0.3944599628;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#BaseMovement_JUYWVLGX;BaseMovement;1533289348.13544;1533289348.66819;0.5327551365;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_NTLRYCWH;LookingAtLocation;1533289366.11967;1533289366.31011;0.1904380322;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#VisualPerception_GTJSLDKY;VisualPerception;1533289374.57872;1533289374.77971;0.2009859085;PickingUpAnObject;AcquireGraspOfSomething;LookingForSomething
http://knowrob.org/kb/knowrob.owl#BaseMovement_ZWJGPLQF;BaseMovement;1533289346.36994;1533289346.78192;0.411976099;;FetchAndDeliver;LookingAtLocation
http://knowrob.org/kb/knowrob.owl#MovingToLocation_RYJSFENC;MovingToLocation;1533289360.672;1533289361.21955;0.547552824;PickingUpAnObject;LookingForSomething;VisualPerception
http://knowrob.org/kb/knowrob.owl#MovingToLocation_JWPBURVK;MovingToLocation;1533289370.88014;1533289372.18586;1.3057169914;LookingForSomething;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_IZEVXMWR;MovingToLocation;1533289356.07566;1533289356.63152;0.5558578968;PickingUpAnObject;LookingForSomething;VisualPerception
http://knowrob.org/kb/knowrob.owl#LookingForSomething_YSXUVFIC;LookingForSomething;1533289355.25282;1533289355.63393;0.3811051846;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#VisualPerception_EPWIBXQU;VisualPerception;1533289354.26601;1533289354.46603;0.2000248432;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#LookingForSomething_VNUMSPBC;LookingForSomething;1533289362.79642;1533289363.19765;0.4012320042;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_KGPCFLEZ;LookingAtLocation;1533289362.95794;1533289363.1648;0.2068610191;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_QWENMZHG;MovingToLocation;1533289349.72915;1533289350.84157;1.1124191284;PickingUpAnObject;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#ClosingAGripper_NCQWZIEF;ClosingAGripper;1533289375.97973;1533289376.1758;0.1960721016;AcquireGraspOfSomething;LiftingAnArm;GRASPING
http://knowrob.org/kb/knowrob.owl#LookingForSomething_NEKTUCGL;LookingForSomething;1533289347.13422;1533289349.47633;2.3421080112;FetchAndDeliver;PickingUpAnObject;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_VBNGEOSZ;MovingToLocation;1533289357.66254;1533289358.34287;0.6803240776;PickingUpAnObject;LookingForSomething;VisualPerception
http://knowrob.org/kb/knowrob.owl#VisualPerception_PTCEQKSO;VisualPerception;1533289352.87546;1533289353.07577;0.2003028393;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#BaseMovement_XHPOUSCK;BaseMovement;1533289352.17404;1533289352.40349;0.2294440269;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#VisualPerception_KVRSXUBI;VisualPerception;1533289357.07231;1533289357.27713;0.2048149109;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#Reaching_GSRXOHJY;Reaching;1533289368.63352;1533289369.11266;0.4791429043;OpeningADrawer;GRASPING;SettingAGripper
